N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
3.162000E+12 1.000E+17 305 1.500E-4 1.345387793E+00 1.355221308E+00 1.293499789E+00 1.293424070E+00
4.642000E+12 1.000E+17 305 1.500E-4 1.358184101E+00 1.358243610E+00 1.294319793E+00 1.294153789E+00
6.813000E+12 1.000E+17 305 1.500E-4 1.358489293E+00 1.358527142E+00 1.285986122E+00 1.287001877E+00
1.000000E+13 1.000E+17 305 1.500E-4 1.368447982E+00 1.372256408E+00 1.303552598E+00 1.303668468E+00
1.000000E+10 1.000E+17 310 1.500E-4 1.274707223E+00 1.328114595E+00 1.222783142E+00 1.253426851E+00
1.468000E+10 1.000E+17 310 1.500E-4 1.286079362E+00 1.328485845E+00 1.232429697E+00 1.254002334E+00
2.154000E+10 1.000E+17 310 1.500E-4 1.294434759E+00 1.329028822E+00 1.239863621E+00 1.254800315E+00
3.162000E+10 1.000E+17 310 1.500E-4 1.300447720E+00 1.329821624E+00 1.245689408E+00 1.255881729E+00
4.642000E+10 1.000E+17 310 1.500E-4 1.304716635E+00 1.330976433E+00 1.250439823E+00 1.257301488E+00
6.813000E+10 1.000E+17 310 1.500E-4 1.307727004E+00 1.332652654E+00 1.254531276E+00 1.259091293E+00
1.000000E+11 1.000E+17 310 1.500E-4 1.309852123E+00 1.333159240E+00 1.258243520E+00 1.261236785E+00
1.468000E+11 1.000E+17 310 1.500E-4 1.311369574E+00 1.333282712E+00 1.261718269E+00 1.263661398E+00
2.154000E+11 1.000E+17 310 1.500E-4 1.314450789E+00 1.333450851E+00 1.264981040E+00 1.266232024E+00
3.162000E+11 1.000E+17 310 1.500E-4 1.324929828E+00 1.333673101E+00 1.269218598E+00 1.269501264E+00
4.642000E+11 1.000E+17 310 1.500E-4 1.329408191E+00 1.333955629E+00 1.271683785E+00 1.272245050E+00
6.813000E+11 1.000E+17 310 1.500E-4 1.333683323E+00 1.334297650E+00 1.273744841E+00 1.274074150E+00
1.000000E+12 1.000E+17 310 1.500E-4 1.334296287E+00 1.334688465E+00 1.275544559E+00 1.275752933E+00
1.468000E+12 1.000E+17 310 1.500E-4 1.334859344E+00 1.345973050E+00 1.277092525E+00 1.277204738E+00
2.154000E+12 1.000E+17 310 1.500E-4 1.347707724E+00 1.347876463E+00 1.290634002E+00 1.290654788E+00
3.162000E+12 1.000E+17 310 1.500E-4 1.353415680E+00 1.353527320E+00 1.291945203E+00 1.291877590E+00
4.642000E+12 1.000E+17 310 1.500E-4 1.353916303E+00 1.353987227E+00 1.298838868E+00 1.300075137E+00
6.813000E+12 1.000E+17 310 1.500E-4 1.366844044E+00 1.366893333E+00 1.277794259E+00 1.277844017E+00
1.000000E+13 1.000E+17 310 1.500E-4 1.367187659E+00 1.367218898E+00 1.297948245E+00 1.298914310E+00
1.000000E+10 1.000E+17 315 1.500E-4 1.272529854E+00 1.326306411E+00 1.217291913E+00 1.254646260E+00
1.468000E+10 1.000E+17 315 1.500E-4 1.286517759E+00 1.326642432E+00 1.228716595E+00 1.255290967E+00
2.154000E+10 1.000E+17 315 1.500E-4 1.296978015E+00 1.327134446E+00 1.237629439E+00 1.256189852E+00
3.162000E+10 1.000E+17 315 1.500E-4 1.304604745E+00 1.327854019E+00 1.244655823E+00 1.257415996E+00
4.642000E+10 1.000E+17 315 1.500E-4 1.310070868E+00 1.328904689E+00 1.250391295E+00 1.259040589E+00
6.813000E+10 1.000E+17 315 1.500E-4 1.313951825E+00 1.330435106E+00 1.255326367E+00 1.261111852E+00
1.000000E+11 1.000E+17 315 1.500E-4 1.316704849E+00 1.332656544E+00 1.259808280E+00 1.263629962E+00
1.468000E+11 1.000E+17 315 1.500E-4 1.318677658E+00 1.333822721E+00 1.264025887E+00 1.266521658E+00
2.154000E+11 1.000E+17 315 1.500E-4 1.320127374E+00 1.334033676E+00 1.268025245E+00 1.269640236E+00
3.162000E+11 1.000E+17 315 1.500E-4 1.321239932E+00 1.334313012E+00 1.273210775E+00 1.273631684E+00
4.642000E+11 1.000E+17 315 1.500E-4 1.327495774E+00 1.334668873E+00 1.276271792E+00 1.277063694E+00
6.813000E+11 1.000E+17 315 1.500E-4 1.334331264E+00 1.342350886E+00 1.278865969E+00 1.279344424E+00
1.000000E+12 1.000E+17 315 1.500E-4 1.342354766E+00 1.342867524E+00 1.281121442E+00 1.281397346E+00
1.468000E+12 1.000E+17 315 1.500E-4 1.343098799E+00 1.343423119E+00 1.283480000E+00 1.283632688E+00
2.154000E+12 1.000E+17 315 1.500E-4 1.343794268E+00 1.343994990E+00 1.285072996E+00 1.285127454E+00
3.162000E+12 1.000E+17 315 1.500E-4 1.354063882E+00 1.356636596E+00 1.293236868E+00 1.294474222E+00
4.642000E+12 1.000E+17 315 1.500E-4 1.357145119E+00 1.362312388E+00 1.299991713E+00 1.299701713E+00
6.813000E+12 1.000E+17 315 1.500E-4 1.362694190E+00 1.362752830E+00 1.294397342E+00 1.294396080E+00
1.000000E+13 1.000E+17 315 1.500E-4 1.365380325E+00 1.369959441E+00 1.284363432E+00 1.284599635E+00
1.000000E+10 1.000E+17 320 1.500E-4 1.268319386E+00 1.329722867E+00 1.209433545E+00 1.253625719E+00
1.468000E+10 1.000E+17 320 1.500E-4 1.285159674E+00 1.329744320E+00 1.222584735E+00 1.254371776E+00
2.154000E+10 1.000E+17 320 1.500E-4 1.298009876E+00 1.329775529E+00 1.233010865E+00 1.255415894E+00
3.162000E+10 1.000E+17 320 1.500E-4 1.307523216E+00 1.329820821E+00 1.241322053E+00 1.256846788E+00
4.642000E+10 1.000E+17 320 1.500E-4 1.314418238E+00 1.329886140E+00 1.248156458E+00 1.258754267E+00
6.813000E+10 1.000E+17 320 1.500E-4 1.319353545E+00 1.329979692E+00 1.254069838E+00 1.261206931E+00
1.000000E+11 1.000E+17 320 1.500E-4 1.322875065E+00 1.330112209E+00 1.259472702E+00 1.264218614E+00
1.468000E+11 1.000E+17 320 1.500E-4 1.325409463E+00 1.330296984E+00 1.264598637E+00 1.267718366E+00
2.154000E+11 1.000E+17 320 1.500E-4 1.327278194E+00 1.330549283E+00 1.269510363E+00 1.271541705E+00
3.162000E+11 1.000E+17 320 1.500E-4 1.328716626E+00 1.330883806E+00 1.275733273E+00 1.276338508E+00
4.642000E+11 1.000E+17 320 1.500E-4 1.329891384E+00 1.331310866E+00 1.279629583E+00 1.280678459E+00
6.813000E+11 1.000E+17 320 1.500E-4 1.330912225E+00 1.341305839E+00 1.283543328E+00 1.284149595E+00
1.000000E+12 1.000E+17 320 1.500E-4 1.340422083E+00 1.343602948E+00 1.286475753E+00 1.286827465E+00
1.468000E+12 1.000E+17 320 1.500E-4 1.343899646E+00 1.351453984E+00 1.288981930E+00 1.289187198E+00
2.154000E+12 1.000E+17 320 1.500E-4 1.351961056E+00 1.352220149E+00 1.291308691E+00 1.291390311E+00
3.162000E+12 1.000E+17 320 1.500E-4 1.352786905E+00 1.352949072E+00 1.292979472E+00 1.292943113E+00
4.642000E+12 1.000E+17 320 1.500E-4 1.353569799E+00 1.355612208E+00 1.294873535E+00 1.295865934E+00
6.813000E+12 1.000E+17 320 1.500E-4 1.365951844E+00 1.366023374E+00 1.293901817E+00 1.293956534E+00
1.000000E+13 1.000E+17 320 1.500E-4 1.371493991E+00 1.371541272E+00 1.295665304E+00 1.295900866E+00
1.000000E+10 1.000E+17 325 1.500E-4 1.261859560E+00 1.336693851E+00 1.201080973E+00 1.252341684E+00
1.468000E+10 1.000E+17 325 1.500E-4 1.281676097E+00 1.336721299E+00 1.215580719E+00 1.253151142E+00
2.154000E+10 1.000E+17 325 1.500E-4 1.297144216E+00 1.336761315E+00 1.227538860E+00 1.254288026E+00
3.162000E+10 1.000E+17 325 1.500E-4 1.308797280E+00 1.336819318E+00 1.237161054E+00 1.255856269E+00
4.642000E+10 1.000E+17 325 1.500E-4 1.317354151E+00 1.336903058E+00 1.245102384E+00 1.257963871E+00
6.813000E+10 1.000E+17 325 1.500E-4 1.323537595E+00 1.337023019E+00 1.251977599E+00 1.260702995E+00
1.000000E+11 1.000E+17 325 1.500E-4 1.327980502E+00 1.337193084E+00 1.258267267E+00 1.264111416E+00
1.468000E+11 1.000E+17 325 1.500E-4 1.331194359E+00 1.337430450E+00 1.264266681E+00 1.268135575E+00
2.154000E+11 1.000E+17 325 1.500E-4 1.333573556E+00 1.337754904E+00 1.270072845E+00 1.272608690E+00
3.162000E+11 1.000E+17 325 1.500E-4 1.335411217E+00 1.338185817E+00 1.277253264E+00 1.278224318E+00
4.642000E+11 1.000E+17 325 1.500E-4 1.336917225E+00 1.338737118E+00 1.282352514E+00 1.283598650E+00
6.813000E+11 1.000E+17 325 1.500E-4 1.338230938E+00 1.339409825E+00 1.287636805E+00 1.288382682E+00
1.000000E+12 1.000E+17 325 1.500E-4 1.339431231E+00 1.340185512E+00 1.290713619E+00 1.291162244E+00
1.468000E+12 1.000E+17 325 1.500E-4 1.340547533E+00 1.347551728E+00 1.293738082E+00 1.294026627E+00
2.154000E+12 1.000E+17 325 1.500E-4 1.352527525E+00 1.352850029E+00 1.296460454E+00 1.296605113E+00
3.162000E+12 1.000E+17 325 1.500E-4 1.360624848E+00 1.360832751E+00 1.298777530E+00 1.298830686E+00
4.642000E+12 1.000E+17 325 1.500E-4 1.361593506E+00 1.361725755E+00 1.300811199E+00 1.300671724E+00
6.813000E+12 1.000E+17 325 1.500E-4 1.362314522E+00 1.362398793E+00 1.302459561E+00 1.302236966E+00
1.000000E+13 1.000E+17 325 1.500E-4 1.374496201E+00 1.374555918E+00 1.293433304E+00 1.293467934E+00
1.000000E+10 1.000E+17 330 1.500E-4 1.252758934E+00 1.343047304E+00 1.189438218E+00 1.249955755E+00
1.468000E+10 1.000E+17 330 1.500E-4 1.276212438E+00 1.343082128E+00 1.206870148E+00 1.250820262E+00
2.154000E+10 1.000E+17 330 1.500E-4 1.294458819E+00 1.343132874E+00 1.220678166E+00 1.252040253E+00
3.162000E+10 1.000E+17 330 1.500E-4 1.308477712E+00 1.343206510E+00 1.231611990E+00 1.253732025E+00
4.642000E+10 1.000E+17 330 1.500E-4 1.318926671E+00 1.343312877E+00 1.240681330E+00 1.256023592E+00
6.813000E+10 1.000E+17 330 1.500E-4 1.326561423E+00 1.343465173E+00 1.248543343E+00 1.259031988E+00
1.000000E+11 1.000E+17 330 1.500E-4 1.332091948E+00 1.343681324E+00 1.255745514E+00 1.262824190E+00
1.468000E+11 1.000E+17 330 1.500E-4 1.336116876E+00 1.343983275E+00 1.262648728E+00 1.267370357E+00
2.154000E+11 1.000E+17 330 1.500E-4 1.339110375E+00 1.344396434E+00 1.269395090E+00 1.272512499E+00
3.162000E+11 1.000E+17 330 1.500E-4 1.341431928E+00 1.344946072E+00 1.277148979E+00 1.278674652E+00
4.642000E+11 1.000E+17 330 1.500E-4 1.343341943E+00 1.345650716E+00 1.283925935E+00 1.285485575E+00
6.813000E+11 1.000E+17 330 1.500E-4 1.345014851E+00 1.346512740E+00 1.290165908E+00 1.291105011E+00
1.000000E+12 1.000E+17 330 1.500E-4 1.346550201E+00 1.347509920E+00 1.293679194E+00 1.294306507E+00
1.468000E+12 1.000E+17 330 1.500E-4 1.347984724E+00 1.348593086E+00 1.297597759E+00 1.297958185E+00
2.154000E+12 1.000E+17 330 1.500E-4 1.349286602E+00 1.349667829E+00 1.301083449E+00 1.301301044E+00
3.162000E+12 1.000E+17 330 1.500E-4 1.359035128E+00 1.361510977E+00 1.304199241E+00 1.304320500E+00
4.642000E+12 1.000E+17 330 1.500E-4 1.366590313E+00 1.369490219E+00 1.306385225E+00 1.306465324E+00
6.813000E+12 1.000E+17 330 1.500E-4 1.370268231E+00 1.370376541E+00 1.308821680E+00 1.308534524E+00
1.000000E+13 1.000E+17 330 1.500E-4 1.371134038E+00 1.371202439E+00 1.292211846E+00 1.292379470E+00
1.000000E+10 1.000E+17 335 1.500E-4 1.237813424E+00 1.348446618E+00 1.174216931E+00 1.244655303E+00
1.468000E+10 1.000E+17 335 1.500E-4 1.268629582E+00 1.348490410E+00 1.193820935E+00 1.245603543E+00
2.154000E+10 1.000E+17 335 1.500E-4 1.289708866E+00 1.348554152E+00 1.210536404E+00 1.246944925E+00
3.162000E+10 1.000E+17 335 1.500E-4 1.306250718E+00 1.348646799E+00 1.223500319E+00 1.248812803E+00
4.642000E+10 1.000E+17 335 1.500E-4 1.318788960E+00 1.348780491E+00 1.233655066E+00 1.251357467E+00
6.813000E+10 1.000E+17 335 1.500E-4 1.328067401E+00 1.348972268E+00 1.242524649E+00 1.254723295E+00
1.000000E+11 1.000E+17 335 1.500E-4 1.334852000E+00 1.349244317E+00 1.250709185E+00 1.259007037E+00
1.468000E+11 1.000E+17 335 1.500E-4 1.339824674E+00 1.349624697E+00 1.258623258E+00 1.264203258E+00
2.154000E+11 1.000E+17 335 1.500E-4 1.343543563E+00 1.350145806E+00 1.266446202E+00 1.270160880E+00
3.162000E+11 1.000E+17 335 1.500E-4 1.346441407E+00 1.350840057E+00 1.274128302E+00 1.276581137E+00
4.642000E+11 1.000E+17 335 1.500E-4 1.348836195E+00 1.351731819E+00 1.284227072E+00 1.285242621E+00
6.813000E+11 1.000E+17 335 1.500E-4 1.350943494E+00 1.352825583E+00 1.289770212E+00 1.290868619E+00
1.000000E+12 1.000E+17 335 1.500E-4 1.352886631E+00 1.354094588E+00 1.295295127E+00 1.296006120E+00
1.468000E+12 1.000E+17 335 1.500E-4 1.354710944E+00 1.355477770E+00 1.300529449E+00 1.300979616E+00
2.154000E+12 1.000E+17 335 1.500E-4 1.356441765E+00 1.356920669E+00 1.304684045E+00 1.304979856E+00
3.162000E+12 1.000E+17 335 1.500E-4 1.358071627E+00 1.358367174E+00 1.307903984E+00 1.308101860E+00
4.642000E+12 1.000E+17 335 1.500E-4 1.360556277E+00 1.365125223E+00 1.311368490E+00 1.311463521E+00
6.813000E+12 1.000E+17 335 1.500E-4 1.370937749E+00 1.373493202E+00 1.313739856E+00 1.314124082E+00
1.000000E+13 1.000E+17 335 1.500E-4 1.378887489E+00 1.378973908E+00 1.293644603E+00 1.293615041E+00
1.000000E+10 1.000E+17 340 1.500E-4 1.224755560E+00 1.352918473E+00 1.160680057E+00 1.239949984E+00
1.468000E+10 1.000E+17 340 1.500E-4 1.253559531E+00 1.352973003E+00 1.181530803E+00 1.240931704E+00
2.154000E+10 1.000E+17 340 1.500E-4 1.283075349E+00 1.353052516E+00 1.197165690E+00 1.242325439E+00
3.162000E+10 1.000E+17 340 1.500E-4 1.302212744E+00 1.353167861E+00 1.214237191E+00 1.244276587E+00
4.642000E+10 1.000E+17 340 1.500E-4 1.316989514E+00 1.353334602E+00 1.225926063E+00 1.246952049E+00
6.813000E+10 1.000E+17 340 1.500E-4 1.328080767E+00 1.353573653E+00 1.236355392E+00 1.250524028E+00
1.000000E+11 1.000E+17 340 1.500E-4 1.336278729E+00 1.353913008E+00 1.245407042E+00 1.255124050E+00
1.468000E+11 1.000E+17 340 1.500E-4 1.342336276E+00 1.354387863E+00 1.254197076E+00 1.260785979E+00
2.154000E+11 1.000E+17 340 1.500E-4 1.346896059E+00 1.355038980E+00 1.262964783E+00 1.267388213E+00
3.162000E+11 1.000E+17 340 1.500E-4 1.350468777E+00 1.355907639E+00 1.271690152E+00 1.274635253E+00
4.642000E+11 1.000E+17 340 1.500E-4 1.353436652E+00 1.357025357E+00 1.281536054E+00 1.283068508E+00
6.813000E+11 1.000E+17 340 1.500E-4 1.356061753E+00 1.358399436E+00 1.289085529E+00 1.290195912E+00
1.000000E+12 1.000E+17 340 1.500E-4 1.358494719E+00 1.359998211E+00 1.295516351E+00 1.296457740E+00
1.468000E+12 1.000E+17 340 1.500E-4 1.360790394E+00 1.361746680E+00 1.302136136E+00 1.302667831E+00
2.154000E+12 1.000E+17 340 1.500E-4 1.363007912E+00 1.363605513E+00 1.307331018E+00 1.307709767E+00
3.162000E+12 1.000E+17 340 1.500E-4 1.365090172E+00 1.365466200E+00 1.311882410E+00 1.312223744E+00
4.642000E+12 1.000E+17 340 1.500E-4 1.366769219E+00 1.367008143E+00 1.315134009E+00 1.315721295E+00
6.813000E+12 1.000E+17 340 1.500E-4 1.368222622E+00 1.368373101E+00 1.319259385E+00 1.319270413E+00
1.000000E+13 1.000E+17 340 1.500E-4 1.379757570E+00 1.379862768E+00 1.321863413E+00 1.321923376E+00
1.000000E+10 5.623E+15 290 1.500E-4 1.228188366E+00 1.236349372E+00 1.203475239E+00 1.212297236E+00
1.468000E+10 5.623E+15 290 1.500E-4 1.231870498E+00 1.236355336E+00 1.210827292E+00 1.212303716E+00
2.154000E+10 5.623E+15 290 1.500E-4 1.235339231E+00 1.236364000E+00 1.211305848E+00 1.212313121E+00
3.162000E+10 5.623E+15 290 1.500E-4 1.235678312E+00 1.236376583E+00 1.211640393E+00 1.212326788E+00
4.642000E+10 5.623E+15 290 1.500E-4 1.235919563E+00 1.236394840E+00 1.211879417E+00 1.212346620E+00
6.813000E+10 5.623E+15 290 1.500E-4 1.236098118E+00 1.236421255E+00 1.212057666E+00 1.212375260E+00
1.000000E+11 5.623E+15 290 1.500E-4 1.236239832E+00 1.236459193E+00 1.212200859E+00 1.212416432E+00
1.468000E+11 5.623E+15 290 1.500E-4 1.236364582E+00 1.236513216E+00 1.212328977E+00 1.212475003E+00
2.154000E+11 5.623E+15 290 1.500E-4 1.236488666E+00 1.236589136E+00 1.212458596E+00 1.214090109E+00
3.162000E+11 5.623E+15 290 1.500E-4 1.236626165E+00 1.236693841E+00 1.215273292E+00 1.216500705E+00
4.642000E+11 5.623E+15 290 1.500E-4 1.237566748E+00 1.238995225E+00 1.218721969E+00 1.219918372E+00
6.813000E+11 5.623E+15 290 1.500E-4 1.244745997E+00 1.245802800E+00 1.225366035E+00 1.225436493E+00
1.000000E+12 5.623E+15 290 1.500E-4 1.248951014E+00 1.248973154E+00 1.231360285E+00 1.231481084E+00
1.468000E+12 5.623E+15 290 1.500E-4 1.254732535E+00 1.254748096E+00 1.231804066E+00 1.231819551E+00
2.154000E+12 5.623E+15 290 1.500E-4 1.255087269E+00 1.255097506E+00 1.232177030E+00 1.232187206E+00
3.162000E+12 5.623E+15 290 1.500E-4 1.255451719E+00 1.255458441E+00 1.232609445E+00 1.232616090E+00
4.642000E+12 5.623E+15 290 1.500E-4 1.255823685E+00 1.255827023E+00 1.233085372E+00 1.233089827E+00
6.813000E+12 5.623E+15 290 1.500E-4 1.268407396E+00 1.268410735E+00 1.246289145E+00 1.246292372E+00
1.000000E+13 5.623E+15 290 1.500E-4 1.268748205E+00 1.268750386E+00 1.246606888E+00 1.246609031E+00
1.000000E+10 5.623E+15 295 1.500E-4 1.233497714E+00 1.241916109E+00 1.207905061E+00 1.217834102E+00
1.468000E+10 5.623E+15 295 1.500E-4 1.234383162E+00 1.242065620E+00 1.208775342E+00 1.217842246E+00
2.154000E+10 5.623E+15 295 1.500E-4 1.234996597E+00 1.242284643E+00 1.209378631E+00 1.217854111E+00
3.162000E+10 5.623E+15 295 1.500E-4 1.235425300E+00 1.242316914E+00 1.210641126E+00 1.217871370E+00
