T(K) J0(mAcm-2)
250 2.02060E-12
318 8.43069E-8
451 1.12368E-2
364 1.26742E-5
457 1.63849E-2
273 1.30926E-10
204 3.15434E-17
230 2.78891E-14
278 2.96759E-10
481 6.77474E-2
104 7.72010E-42
341 1.21575E-6
133 5.82133E-31
171 3.20370E-22
437 4.48617E-3
406 4.74481E-4
421 1.46343E-3
241 3.20295E-13
353 4.28426E-6
265 3.32250E-11
415 9.41344E-4
149 9.51619E-27
338 8.75529E-7
411 6.96698E-4
393 1.67327E-4
489 1.05596E-1
169 1.38627E-22
361 9.48811E-6
202 1.74457E-17
311 3.47108E-8
249 1.65718E-12
497 1.62382E-1
345 1.86742E-6
471 3.81295E-2
105 2.29720E-41
374 3.22183E-5
243 4.87842E-13
208 9.97420E-17
285 8.90582E-10
399 2.72883E-4
387 1.01130E-4
268 5.60829E-11
239 2.08859E-13
396 2.14062E-4
114 1.79591E-37
111 1.06114E-38
435 3.91672E-3
168 9.05247E-23
117 2.63435E-36
189 2.75707E-19
289 1.63068E-9
434 3.65807E-3
142 1.77775E-28
247 1.10948E-12
186 9.77002E-20
476 5.09702E-2
205 4.22361E-17
258 9.35517E-12
468 3.19452E-2
235 8.69471E-14
400 2.95656E-4
209 1.32116E-16
300 7.94125E-9
407 5.12738E-4
367 1.68536E-5
463 2.36713E-2
383 7.16896E-5
369 2.03300E-5
443 6.69426E-3
198 5.15287E-18
324 1.75164E-7
452 1.19737E-2
480 6.40283E-2
355 5.24323E-6
297 5.21502E-9
429 2.58781E-3
166 3.80237E-23
350 3.15131E-6
246 9.05662E-13
174 1.08644E-21
224 6.67708E-15
365 1.39442E-5
313 4.49025E-8
177 3.53801E-21
391 1.41704E-4
150 1.63106E-26
196 2.74994E-18
401 3.20208E-4
237 1.35243E-13
317 7.44404E-8
218 1.48089E-15
123 3.84754E-34
