# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3]
10000000 10000
269 13400 199733 78.6771 -60.2697 -293.083
270 13450 199732 -263.401 -333.926 -527.214
271 13500 199731 -847.421 -653.918 -794.648
272 13550 199730 -882.261 -622.238 -623.013
273 13600 199729 -398.762 -191.129 -98.5093
274 13650 199728 601.471 515.236 463.597
275 13700 199727 1075.18 1127.69 876.983
276 13750 199726 982.697 1166.98 920.207
277 13800 199725 355.825 624.286 531.757
278 13850 199724 -171.698 3.25077 21.2391
279 13900 199723 -450.68 -264.005 -148.714
280 13950 199722 -354.386 -334.782 -361.096
281 14000 199721 -156.508 -186.138 -309.434
282 14050 199720 49.6889 185.369 -61.531
283 14100 199719 267.874 384.96 168.55
284 14150 199718 266.769 315.786 196.155
285 14200 199717 -120.044 -60.6242 -148.135
286 14250 199716 -684.383 -538.78 -369.654
287 14300 199715 -1184.03 -923.334 -828.877
288 14350 199714 -1179.47 -1034.06 -915.443
289 14400 199713 -672.544 -884.693 -674.409
290 14450 199712 82.9384 -243.488 -190.748
291 14500 199711 785.408 581.053 270.42
292 14550 199710 840.023 829.426 656.474
293 14600 199709 475.532 641.746 506.719
294 14650 199708 51.2192 346.039 270.207
295 14700 199707 -30.4651 325.173 249.982
296 14750 199706 332.131 623.726 529.098
297 14800 199705 521.687 714.73 859.413
298 14850 199704 600.12 749.546 737.405
299 14900 199703 331.197 251.545 262.113
300 14950 199702 -343.124 -525.532 -577.442
301 15000 199701 -937.32 -1154.16 -1229.7
302 15050 199700 -1320.63 -1275.16 -1374.15
303 15100 199699 -1229.2 -1219.12 -1062.2
304 15150 199698 -660.081 -708.875 -434.219
305 15200 199697 -95.737 -84.9027 104.353
306 15250 199696 528.272 543.625 533.54
307 15300 199695 1015.16 766.005 801.99
308 15350 199694 918.021 582.856 835.58
309 15400 199693 189.819 102.988 346.819
310 15450 199692 -492.723 -422.97 -308.677
311 15500 199691 -775.366 -810.298 -673.6
312 15550 199690 -711.024 -878.746 -711.957
313 15600 199689 -188.324 -492.568 -243.744
314 15650 199688 454.841 304.428 433.455
315 15700 199687 800.184 761.269 826.388
316 15750 199686 562.763 609.371 502.891
317 15800 199685 -23.0256 11.4318 -119.995
318 15850 199684 -178.33 -32.9137 -248.81
319 15900 199683 -156.311 -97.9695 114.047
320 15950 199682 -49.9219 -3.95779 265.662
321 16000 199681 137.725 27.7235 236.844
322 16050 199680 -148.889 -360.537 -120.617
323 16100 199679 -526.047 -501.299 -552.523
324 16150 199678 -610.065 -869.108 -857.162
325 16200 199677 -292.331 -739.758 -735.92
326 16250 199676 -141.004 -325.775 -170.681
327 16300 199675 -129.894 97.8587 299.527
328 16350 199674 16.0211 605.279 650.773
329 16400 199673 519.604 993.87 899.582
330 16450 199672 854.709 759.268 827.251
331 16500 199671 722.74 458.663 492.656
332 16550 199670 68.9404 -275.767 -118.872
333 16600 199669 -650.106 -745.055 -579.46
334 16650 199668 -1030.36 -1003.38 -909.578
335 16700 199667 -1059.03 -861.388 -703.014
336 16750 199666 -454.082 -226.382 -59.0434
337 16800 199665 254.67 482.686 632.624
338 16850 199664 746.095 813.103 913.882
339 16900 199663 514.007 652.722 701.211
340 16950 199662 470.492 379.177 281.924
341 17000 199661 403.162 138.47 131.997
342 17050 199660 126.585 -100.049 -329.282
343 17100 199659 -355.249 -240.062 -183.259
344 17150 199658 -478.433 -152.767 60.5412
345 17200 199657 -447.966 -302.595 -28.5687
346 17250 199656 -393.303 -508.011 -278.694
347 17300 199655 -336.2 -408.315 -453.356
348 17350 199654 87.1869 19.7418 -54.3486
349 17400 199653 194.157 223.576 343.932
350 17450 199652 160.338 308.145 459.917
351 17500 199651 77.0704 494.776 493.738
352 17550 199650 206.615 581.51 540.621
353 17600 199649 232.983 609.371 613.316
354 17650 199648 348.204 456.25 510.39
355 17700 199647 327.779 187.034 318.296
356 17750 199646 228.488 -2.0381 -5.81555
357 17800 199645 -406.877 -445.161 -471.494
358 17850 199644 -733.923 -739.729 -635.13
359 17900 199643 -776.021 -626.209 -394.307
360 17950 199642 -321.457 -264.948 54.1193
361 18000 199641 25.9335 174.92 311.063
362 18050 199640 129.153 280.798 202.048
363 18100 199639 50.6962 18.8696 -115.759
364 18150 199638 140.818 -245.633 -369.952
365 18200 199637 69.3379 -250.926 -345.446
366 18250 199636 -22.6746 81.0132 -9.47018
367 18300 199635 -215.925 234.475 128.507
368 18350 199634 28.1387 599.609 576.072
369 18400 199633 459.251 922.601 914.337
370 18450 199632 792.249 904.001 800.29
371 18500 199631 836.692 711.351 797.905
372 18550 199630 423.421 263.914 412.926
373 18600 199629 61.1714 -146.095 5.58883
374 18650 199628 -248.299 -220.535 -354.478
375 18700 199627 -413.238 -208.927 -443.736
376 18750 199626 -246.127 -12.7263 -156.484
377 18800 199625 -222.147 -98.2961 -52.5305
378 18850 199624 -344.478 -248.858 -237.693
379 18900 199623 -499.485 -522.456 -339.492
380 18950 199622 -585.559 -646.722 -614.632
381 19000 199621 -286.006 -505.894 -519.885
382 19050 199620 23.1785 -8.13466 35.6088
383 19100 199619 62.1735 405.778 286.637
384 19150 199618 -235.248 78.9662 194.823
385 19200 199617 131.268 73.6299 159.745
386 19250 199616 451.281 331.445 193.904
387 19300 199615 524.956 398.298 -7.59167
388 19350 199614 694.153 571.263 254.71
389 19400 199613 634.464 619.987 536.989
390 19450 199612 521.624 945.118 714.825
391 19500 199611 97.2816 710.61 500.267
392 19550 199610 -203.926 199.029 105.004
393 19600 199609 -243.201 -212.795 -134.303
394 19650 199608 -254.194 -656.296 -635.03
395 19700 199607 -506.251 -878.446 -866.336
396 19750 199606 -453.787 -923.966 -914.631
397 19800 199605 -370.008 -644.56 -812.286
398 19850 199604 -212.353 -223.487 -396.066
399 19900 199603 -165.785 111.744 -108.018
400 19950 199602 98.1613 594.473 348.77
401 20000 199601 420.459 766.437 828.024
402 20050 199600 691.247 724.594 797.736
403 20100 199599 664.718 370.212 520.424
404 20150 199598 352.742 95.3911 71.8816
405 20200 199597 97.976 39.4851 33.577
406 20250 199596 -164.291 43.1247 -71.3605
407 20300 199595 -512.666 -268.972 -361.866
408 20350 199594 -561.728 -509.808 -589.23
409 20400 199593 -327.461 -606.047 -425.815
410 20450 199592 41.9305 -385.026 -195.132
411 20500 199591 143.889 119.98 172.193
412 20550 199590 327.238 361 375.509
413 20600 199589 386.85 615.265 539.451
414 20650 199588 425.34 418.155 288.167
415 20700 199587 230.07 73.2503 32.0988
416 20750 199586 -223.6 -425.652 -236.231
417 20800 199585 -399.405 -558.293 -370.417
418 20850 199584 -462.527 -671.402 -434.076
419 20900 199583 -276.847 -635.472 -388.682
420 20950 199582 -0.229636 -291.976 -251.396
421 21000 199581 434.797 372.444 188.348
422 21050 199580 820.696 951.475 782.366
423 21100 199579 697.38 899.758 950.481
424 21150 199578 357.836 648.299 883.582
425 21200 199577 134.057 161.051 527.212
426 21250 199576 -173.35 -358.351 -126.79
427 21300 199575 -98.6834 -604.794 -435.376
428 21350 199574 -230.872 -516.01 -383.171
429 21400 199573 -338.71 -451.922 -319.217
430 21450 199572 -404.473 -281.198 -306.701
431 21500 199571 -327.426 -267.836 -302.914
432 21550 199570 -222.549 -222.432 -166.717
433 21600 199569 -60.2087 -223.305 77.3231
434 21650 199568 150.863 40.9954 376.29
435 21700 199567 598.712 466.457 609.221
436 21750 199566 840.241 588.726 578.539
437 21800 199565 654.732 312.865 178.8
438 21850 199564 218.351 -70.5311 -1.8482
439 21900 199563 -511.589 -569.042 -530.44
440 21950 199562 -706.733 -734.29 -688.552
441 22000 199561 -669.715 -485.894 -325.902
442 22050 199560 -130.946 -199.272 -31.5445
443 22100 199559 476.235 328.02 476.232
444 22150 199558 1057.58 850.947 830.676
445 22200 199557 1152.91 1270.73 1106.34
446 22250 199556 808.146 1192.52 950.81
447 22300 199555 382.7 612.085 399.031
448 22350 199554 -129.343 -165.683 -174.666
449 22400 199553 -610.411 -770.232 -597.941
450 22450 199552 -751.166 -883.98 -697.621
451 22500 199551 -481.789 -615.499 -461.318
452 22550 199550 -260.826 -247.497 -216.177
453 22600 199549 -142.842 -176.304 -255.763
454 22650 199548 -116.541 -216.266 -268.26
455 22700 199547 -75.0076 -214.543 -317.509
456 22750 199546 -370.205 -401.933 -399.618
457 22800 199545 -312.51 -353.789 -267.576
458 22850 199544 57.2948 -3.29878 94.6069
459 22900 199543 580.976 456.57 595.231
460 22950 199542 977.207 778.488 588.448
461 23000 199541 687.585 579.075 363.96
462 23050 199540 95.4999 159.044 102.294
463 23100 199539 -410.93 108.984 152.864
464 23150 199538 -470.3 -79.5725 74.3473
465 23200 199537 -251.49 -237.47 -29.9456
466 23250 199536 160.851 48.9778 147.485
467 23300 199535 662.976 642.516 443.439
468 23350 199534 685.959 625.44 286.145
469 23400 199533 326.04 -8.96243 -112.972
470 23450 199532 -209.367 -604.575 -610.959
471 23500 199531 -969.64 -1190.41 -985.292
472 23550 199530 -1202.83 -1131.16 -1060.87
473 23600 199529 -1005.64 -712.412 -727.409
474 23650 199528 -228.807 25.5653 -107.888
475 23700 199527 611.644 675.821 761.228
476 23750 199526 984.164 731.694 862.626
477 23800 199525 825.96 415.099 512.823
478 23850 199524 226.154 96.2589 145.078
479 23900 199523 -221.773 -165.499 -298.081
480 23950 199522 -430.765 -319.226 -256.614
481 24000 199521 -180.774 -37.1741 -33.4948
482 24050 199520 252.807 292.613 258.274
483 24100 199519 464.519 350.063 336.518
484 24150 199518 539.075 227.174 415.748
485 24200 199517 224.957 47.9119 174.566
486 24250 199516 -511.957 -430.483 -394.858
487 24300 199515 -906.793 -729.148 -775.72
488 24350 199514 -806.457 -734.55 -665.93
489 24400 199513 -191.229 -313.574 -386.861
490 24450 199512 259.672 -11.76 -17.8315
491 24500 199511 446.489 87.8441 156.284
492 24550 199510 628.876 158.104 170.41
493 24600 199509 431.82 140.505 -37.4634
494 24650 199508 -38.5723 88.9827 -108.304
495 24700 199507 -120.762 206.842 31.5177
496 24750 199506 61.0504 419.351 293.871
497 24800 199505 297.604 871.868 588.413
498 24850 199504 508.287 732.639 846.687
499 24900 199503 639.125 451.382 762.934
500 24950 199502 257.384 -241.348 109.933
501 25000 199501 -484.746 -865.044 -882.718
502 25050 199500 -910.948 -985.21 -1341.24
503 25100 199499 -934.399 -729.804 -1026.49
504 25150 199498 -602.199 -459.147 -387.464
505 25200 199497 -59.7695 95.5047 110.752
506 25250 199496 317.458 470.061 570.761
507 25300 199495 434.169 486.21 409.985
508 25350 199494 246.776 158.722 308.806
509 25400 199493 181.312 2.49431 16.9665
510 25450 199492 -108.872 -288.245 -279.402
511 25500 199491 -236.812 -395.899 -361.78
512 25550 199490 -320.02 -257.553 -290.189
513 25600 199489 -274.563 -63.0219 -231.442
514 25650 199488 -43.3887 108.216 -133.94
515 25700 199487 334.254 327.523 249.719
516 25750 199486 480.922 460.352 413.955
517 25800 199485 438.419 419.226 254.742
518 25850 199484 213.116 368.843 162.545
519 25900 199483 -4.60653 687.767 248.591
520 25950 199482 -28.9809 537.825 236.171
521 26000 199481 -164.341 207.436 41.1627
522 26050 199480 -107.074 -344.621 -178.074
523 26100 199479 -335.661 -603.668 -444.575
524 26150 199478 -422.852 -822.66 -735.453
525 26200 199477 -292.69 -653.521 -878.469
526 26250 199476 -172.212 -404.805 -653.587
527 26300 199475 -67.4762 94.6322 -123.671
528 26350 199474 -12.2986 355.789 247.387
529 26400 199473 90.6509 489.892 336.812
530 26450 199472 224.675 508.094 437.712
531 26500 199471 127.223 228.747 167.102
532 26550 199470 33.8551 -311.432 -168.297
533 26600 199469 -34.7869 -628.773 -517.931
534 26650 199468 -278.982 -458.81 -584.225
535 26700 199467 -374.872 -141.442 -374.219
536 26750 199466 -196.626 234.787 68.9866
537 26800 199465 245.257 593.875 347.77
538 26850 199464 653.723 784.667 720.423
539 26900 199463 812.068 620.665 663.377
540 26950 199462 746.309 584.382 400.522
541 27000 199461 296.521 472.818 190.825
542 27050 199460 -5.16631 140.191 41.6099
543 27100 199459 -169.481 -76.3407 -162.649
544 27150 199458 -370.672 -305.041 -402.973
545 27200 199457 -805.083 -601.408 -775.745
546 27250 199456 -990.225 -927.838 -1036.78
547 27300 199455 -715.746 -930.047 -935.12
548 27350 199454 -188.96 -455.168 -423.257
549 27400 199453 346.347 160.235 66.5453
550 27450 199452 736.876 754.888 527.574
551 27500 199451 825.237 1158.26 813.508
552 27550 199450 611.098 843.002 600.022
553 27600 199449 196.214 509.495 253.001
554 27650 199448 -44.4181 149.871 -81.3921
555 27700 199447 -70.3996 -18.762 -59.3168
556 27750 199446 60.7377 -87.9153 24.1706
557 27800 199445 90.4093 -200.761 2.22865
558 27850 199444 8.34922 -63.3343 -96.7132
559 27900 199443 13.8278 210.11 58.909
560 27950 199442 -104.218 143.103 -211.993
561 28000 199441 -143.819 15.1944 -308.099
562 28050 199440 -279.511 -256.358 -344.935
563 28100 199439 -386.719 -438.806 -290.483
564 28150 199438 -96.3841 -134.053 -123.444
565 28200 199437 264.191 -6.1958 -39.4876
566 28250 199436 354.414 59.5948 12.7729
567 28300 199435 26.2336 180.977 94.2785
568 28350 199434 -307.486 159.989 92.4553
569 28400 199433 -429.573 137.763 -36.2962
570 28450 199432 -221.296 136.463 188.16
571 28500 199431 150.51 303.315 502.827
572 28550 199430 661.55 592.587 721.618
573 28600 199429 967.417 743.278 747.451
574 28650 199428 692.928 597.763 518.379
575 28700 199427 -40.8311 293.253 96.4793
576 28750 199426 -608.796 -259.544 -494.858
577 28800 199425 -1016.34 -871.41 -964.289
578 28850 199424 -1160.22 -1191.55 -991.078
579 28900 199423 -1004.51 -977.511 -610.631
580 28950 199422 -515.751 -456.02 -150.328
581 29000 199421 -23.6047 -63.0492 202.528
582 29050 199420 175.773 149.971 121.451
583 29100 199419 71.7579 62.2248 14.0446
584 29150 199418 -120.497 -34.1901 -41.9721
585 29200 199417 -219.064 -70.038 -124.332
586 29250 199416 -154.336 -18.8126 -34.6033
587 29300 199415 276.369 165.94 191.407
588 29350 199414 667.202 593.473 643.868
589 29400 199413 692.556 793.272 752.323
590 29450 199412 379.541 766.166 396.556
591 29500 199411 -26.6417 457.882 173.379
592 29550 199410 -563.63 -198.098 -225.828
593 29600 199409 -804.919 -571.876 -441.324
594 29650 199408 -634.748 -518.219 -417.622
595 29700 199407 -384.722 -555.926 -413.847
596 29750 199406 -236.631 -393.97 -290.404
597 29800 199405 -77.078 -250.974 -330.007
598 29850 199404 -66.9686 -155.574 -360.577
599 29900 199403 42.764 -154.857 -216.273
600 29950 199402 -353.582 -168.994 -239.224
601 30000 199401 -416.301 -225.502 -204.376
602 30050 199400 -375.217 -112.271 -190.609
603 30100 199399 -154.295 -43.9332 127.702
604 30150 199398 194.872 37.1437 268.209
605 30200 199397 336.155 171.425 357.593
606 30250 199396 282.875 49.0082 -15.6117
607 30300 199395 12.2701 -92.8299 -467.322
608 30350 199394 -382.796 -365.011 -701.202
609 30400 199393 -499.255 -421.76 -639.959
610 30450 199392 -566.781 -330.093 -156.953
611 30500 199391 -206.963 163.085 301.354
612 30550 199390 365.572 600.951 736.672
613 30600 199389 884.151 977.504 892.471
614 30650 199388 685.811 557.471 561.452
615 30700 199387 38.0062 -54.229 -177.43
616 30750 199386 -715.44 -686.601 -615.306
617 30800 199385 -1096.15 -990.113 -923.412
618 30850 199384 -901.455 -930.303 -889.417
619 30900 199383 -402.722 -528.078 -578.642
620 30950 199382 177.925 -112.741 -162.182
621 31000 199381 528.615 453.705 377.34
622 31050 199380 641.702 538.163 540.774
623 31100 199379 309.744 361.709 180.571
624 31150 199378 -127.752 47.7262 -122.231
625 31200 199377 -556.685 -121.777 -342.969
626 31250 199376 -654.898 -314.678 -147.75
